population,alpha,beta,amplitude,period
100,10.000000,1000.000000,0.0,-1.0
100,1000.000000,0.000010,0.011357,255.004975
100,0.100000,100.000000,0.0,-1.0
100,1000.000000,0.001000,0.035205,382.039474
100,100.000000,0.010000,0.013176,512.828829
100,0.001000,0.000100,0.005804,295.132275
100,0.010000,1.000000,0.580511,108.111111
100,1.000000,0.000100,0.019617,282.939759
100,1.000000,100.000000,0.0,-1.0
100,0.000010,0.000100,0.009177,354.949367
100,0.001000,100.000000,0.0,-1.0
100,100.000000,100.000000,0.0,-1.0
100,100.000000,0.000100,0.048297,306.901235
100,1000.000000,0.100000,0.0,-1.0
100,1000.000000,0.000100,0.006667,311.648485
100,0.000100,0.000010,0.005222,344.150289
100,10000.000000,10000.000000,0.0,-1.0
100,100.000000,0.000010,0.024064,359.012658
100,0.100000,0.000010,0.006144,290.243094
100,0.000100,10.000000,0.0,-1.0
100,10000.000000,10.000000,0.0,-1.0
100,0.010000,100.000000,0.0,-1.0
100,1000.000000,10.000000,0.0,-1.0
100,0.000010,0.100000,0.062450,495.413793
100,0.001000,0.000010,0.033614,317.392265
100,0.010000,0.000100,0.008841,373.321212
100,0.000100,0.000100,0.035892,325.362162
100,0.100000,0.010000,0.009877,384.991453
100,1.000000,0.001000,0.014614,326.397790
100,0.100000,0.100000,0.0,-1.0
100,10.000000,1.000000,0.0,-1.0
100,10000.000000,100.000000,0.0,-1.0
100,0.010000,0.100000,0.049152,520.806452
100,0.010000,0.001000,0.024222,337.064103
100,10.000000,0.010000,0.013406,458.258621
100,0.000010,10.000000,0.0,-1.0
100,10.000000,100.000000,0.0,-1.0
100,0.000100,0.001000,0.018855,312.451220
100,1.000000,1.000000,0.065520,682.909091
100,0.001000,0.001000,0.015453,402.050955
100,0.100000,10000.000000,0.0,-1.0
100,0.000100,1.000000,0.0,-1.0
100,1000.000000,100.000000,0.0,-1.0
100,100.000000,1.000000,0.0,-1.0
100,100.000000,10000.000000,0.0,-1.0
100,1000.000000,1000.000000,0.0,-1.0
